objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"10 Days in the USA","7866","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121866956","6.0021","6.49859","1.3846","3120","3683","thing","10 Days in the USA","2","4","30","30","30","2003","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","1500","YEN","","","2024-08-06","surugaya","1","","","","","","",""
"18: 10 rounds of rock-paper-scissors with 18 fingers","338542","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119152929","0","5.75","1","0","17","thing","18: 10 rounds of rock-paper-scissors with 18 fingers","2","2","10","10","5","2018","2","2","","","","","","","","standalone","","150","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"7 Wonders","68448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119998587","7.55242","7.66512","2.3146","112","153754","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","2010","YEN","","","2024-06-07","Surugaya","1","","","","","","",""
"7 Wonders Duel","173346","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318055","7.95502","8.08039","2.2272","23","180237","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below","172818","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131862878","7.07439","7.34529","2.5151","412","27046","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","2250","YEN","","","2025-05-01","","1","","","","","","",""
"Acquire","5","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140125665","7.12899","7.35565","2.4905","361","29662","thing","Acquire","2","6","90","90","90","2008","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","2200","YEN","","","2026-01-01","Surugaya","1","","","","Avalon Hill","English","2008","Avalon Hill (Hasbro) edition"
"Aeon's End","191189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120392100","7.58466","7.8672","2.8052","101","34205","thing","Aeon's End","1","4","60","60","60","2016","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","4500","YEN","","","2024-06-20","surugaya","1","","","","","","",""
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119794938","7.65046","7.95824","3.4437","84","28647","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","3667","YEN","","","2024-06-01","","1","","","","","","",""
"Airlines Europe","90419","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120595580","6.86411","7.29621","2.4325","657","8379","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","1300","YEN","","","2024-06-24","surugaya","1","","","","","","",""
"Android: Netrunner","124742","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129925855","7.65313","7.89106","3.414","81","47130","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","2794","YEN","","","2025-03-02","","1","Japanese translation sticker attached","","","","","",""
